,name,stars,no_of_ratings,price,discount,sleeve,fit,collar
270,Highlander Men Denim Slim Fit Denim Shirt,3.9,58 Ratings,â‚¹402,(77% OFF),Long Sleeves,Slim Fit,Mandarin Collar
271,Green & White Ethnic Motif Printed Classic Slim Fit Casual Shirt,4.2,55 Ratings,â‚¹503,(72% OFF),Long Sleeves,Slim Fit,Spread Collar
272,Textured Relaxed Fit Shirt,4.8,5 Ratings,â‚¹689,(70% OFF),Long Sleeves,Relaxed Fit,Cuban Collar
273,Floral Printed Mandarin Collar Long Sleeves Slim Fit Casual Shirt,4.1,1.6k Ratings,â‚¹559,(72% OFF),Long Sleeves,Slim Fit,Mandarin Collar
274,Men Blue & White Striped Cotton Casual Shirt,4,180 Ratings,â‚¹349,(80% OFF),Long Sleeves,Regular Fit,Spread Collar
275,Abstract Printed Cotton Casual Shirt,4.1,149 Ratings,â‚¹499,(75% OFF),Short Sleeves,Regular Fit,Cuban Collar
276,Slim Fit Tartan Checks Casual Shirt,3.9,3.2k Ratings,â‚¹260,(71% OFF),Long Sleeves,Slim Fit,Spread Collar
277,Checked Spread Collar Cotton Slim Fit Casual Shirt,3.8,156 Ratings,â‚¹599,(70% OFF),Long Sleeves,Slim Fit,Spread Collar
278,Men Standard Solid Casual Shirt,4.1,178 Ratings,â‚¹683,(62% OFF),Long Sleeves,Regular Fit,Button-Down Collar
279,Highlander Men Oversized Textured Dobby Checked Overshirt,4.2,44 Ratings,â‚¹528,(77% OFF),Long Sleeves,Oversized,Cutaway Collar
280,Men Slim Fit Pinstripes Opaque Casual Shirt,4.1,1.9k Ratings,â‚¹664,(65% OFF),Short Sleeves,Slim Fit,Cuban Collar
281,Spread Collar Casual Shirt,4.2,10 Ratings,â‚¹781,(66% OFF),Long Sleeves,Regular Fit,Spread Collar
282,Men Peach-Coloured & White Comfort Fit Checked Casual Shirt,4.2,31.5k Ratings,â‚¹577,(67% OFF),Long Sleeves,Regular Fit,Spread Collar
283,Men Blue Printed Casual Shirt,4.3,1.9k Ratings,â‚¹647,(64% OFF),Long Sleeves,Regular Fit,Button-Down Collar
284,Men White Checked Straight Shirts,4.4,5.3k Ratings,â‚¹664,(65% OFF),Long Sleeves,Regular Fit,Mandarin Collar
285,Black Slim Fit Cotton Casual Shirt,4.8,19 Ratings,â‚¹437,(75% OFF),Long Sleeves,Slim Fit,Spread Collar
286,Edgy Botanicals Printed Drop-Shoulder Sleeves Oversized Shirt,,,â‚¹679,(Rs. 1320 OFF),Short Sleeves,Oversized,Cuban Collar
287,Men Grey & Red Slim Fit Checked Casual Shirt,4.2,1.2k Ratings,â‚¹747,(56% OFF),Long Sleeves,Slim Fit,Spread Collar
288,Brown Floral Printed Classic Slim Fit Casual Shirt,3.7,56 Ratings,â‚¹503,(72% OFF),Short Sleeves,Slim Fit,Spread Collar
289,Men Solid Melange Cuban Collar Relaxed Shirt,4.5,25 Ratings,â‚¹374,(75% OFF),Short Sleeves,Relaxed Fit,Spread Collar
290,Men Brown Slim Fit Printed Casual Shirt,4.1,1.2k Ratings,â‚¹349,(80% OFF),Long Sleeves,Slim Fit,Spread Collar
291,Abstract Printed Cotton Casual Shirt,4.3,264 Ratings,â‚¹579,(71% OFF),Short Sleeves,Regular Fit,Cuban Collar
292,Men Classic Slim Fit Faded Pure Cotton Denim Casual Shirt,4,108 Ratings,â‚¹659,(67% OFF),Long Sleeves,Slim Fit,Spread Collar
293,Men Black Solid Pure Cotton Casual Shirt,4.3,674 Ratings,â‚¹699,(65% OFF),Long Sleeves,Regular Fit,Mandarin Collar
294,Men Black Slim Fit Casual Shirt,4.2,1.9k Ratings,â‚¹419,(79% OFF),Three-Quarter Sleeves,Slim Fit,Mandarin Collar
295,Urban Wear Checked Shirt,3.8,13 Ratings,â‚¹694,(Rs. 805 OFF),Short Sleeves,Regular Fit,Cuban Collar
296,Men Navy Blue & White Slim Fit Tartan Checks Checked Casual Shirt,4.1,629 Ratings,â‚¹682,(61% OFF),Long Sleeves,Slim Fit,Spread Collar
297,Men Black Slim Fit Ethnic Printed Casual Shirt,4.3,5.1k Ratings,â‚¹599,(70% OFF),Short Sleeves,Slim Fit,Spread Collar
298,Men Spread Collar Floral Printed Cotton Casual Shirt,,,â‚¹699,(30% OFF),Long Sleeves,Regular Fit,Spread Collar
299,Slim Fit Floral Printed Cuban Collar Cotton Casual Shirt,4.1,127 Ratings,â‚¹619,(69% OFF),Short Sleeves,Slim Fit,Cuban Collar
300,Men White Solid Casual Shirt,4,1.7k Ratings,â‚¹689,(Rs. 1110 OFF),Long Sleeves,Regular Fit,Spread Collar
301,Men Green Slim Fit Printed Casual Shirt,4.3,1.7k Ratings,â‚¹607,(68% OFF),Short Sleeves,Slim Fit,Spread Collar
302,Edgy Cool Tartan Checks Casual Shirt,,,â‚¹592,(Rs. 1207 OFF),Long Sleeves,Regular Fit,Spread Collar
303,,,,,,,,
304,The Lifestyle Co Men Maroon & Black Regular Fit Checked Casual Shirt,4.3,2k Ratings,â‚¹734,(51% OFF),Long Sleeves,Regular Fit,Spread Collar
305,Men Black Slim Fit Opaque Printed Casual Shirt,4.1,2.9k Ratings,â‚¹335,(72% OFF),Short Sleeves,Slim Fit,Spread Collar
306,Black Classic Slim Fit Self Design Casual Shirt,4.1,35 Ratings,â‚¹503,(72% OFF),Short Sleeves,Slim Fit,Spread Collar
307,Men Green Comfort Cotton Casual Shirt,4.1,30k Ratings,â‚¹682,(61% OFF),Long Sleeves,Regular Fit,Spread Collar
308,The Lifestyle Co Relaxed Fit Denim Casual Shirts,2.6,22 Ratings,â‚¹539,(73% OFF),Long Sleeves,Relaxed Fit,Spread Collar
309,Men Teal Green & Black Slim Fit Checked Casual Shirt,4,151 Ratings,â‚¹349,(80% OFF),Long Sleeves,Slim Fit,Spread Collar
310,Men Teal Casual Shirt,4.1,30k Ratings,â‚¹682,(61% OFF),Long Sleeves,Regular Fit,Cutaway Collar
311,Men Striped Mandarin Collar Pure Cotton Casual Shirt,4.1,436 Ratings,â‚¹629,(70% OFF),Long Sleeves,Regular Fit,Mandarin Collar
312,Men Black Casual Shirt,4.2,6.6k Ratings,â‚¹531,(62% OFF),Short Sleeves,Regular Fit,Spread Collar
313,White Ethnic Motifs Printed Classic Casual Shirt,4.1,419 Ratings,â‚¹503,(72% OFF),Short Sleeves,Oversized,Spread Collar
314,Men Blue & White Slim Fit Printed Casual Shirt,4,1.1k Ratings,â‚¹577,(67% OFF),Long Sleeves,Slim Fit,Spread Collar
315,Men Orange Comfort Checked Regular Fit Cotton Casual Shirt,4.2,31.5k Ratings,â‚¹559,(68% OFF),Long Sleeves,Regular Fit,Spread Collar
316,Men Olive Green Regular Fit Solid Sustainable Casual Shirt,4.3,29.2k Ratings,â‚¹539,(55% OFF),Long Sleeves,Regular Fit,Mandarin Collar
317,Slim Fit Spread Collar Long Sleeves Casual Shirt,3.7,2.6k Ratings,â‚¹514,(Rs. 1485 OFF),Long Sleeves,Slim Fit,Spread Collar
318,White Slim Fit Vertical Striped Cuban Collar Cotton Casual Shirt,4.4,538 Ratings,â‚¹549,(75% OFF),Short Sleeves,Slim Fit,Cuban Collar
319,Men Opaque Casual Shirt,4.5,1.3k Ratings,â‚¹664,(65% OFF),Long Sleeves,Regular Fit,Mandarin Collar
320,Men Black Slim Fit Floral Printed Casual Shirt,4.2,2.3k Ratings,â‚¹639,(68% OFF),Short Sleeves,Slim Fit,Spread Collar
321,Casual Ready Printed Chest Pocket Relaxed Fit Shirt,3,22 Ratings,â‚¹615,(Rs. 684 OFF),Short Sleeves,Relaxed Fit,Spread Collar
322,Slim Fit Spread Collar Casual Shirt,3.7,2.6k Ratings,â‚¹514,(Rs. 1485 OFF),Long Sleeves,Slim Fit,Spread Collar
323,Men Classic Slim Fit Spread Collar Solid Linen Casual Shirt,,,â‚¹619,(Rs. 2380 OFF),Short Sleeves,Slim Fit,Spread Collar
324,Slim Fit Casual Shirt,4.3,120 Ratings,â‚¹599,(70% OFF),Long Sleeves,Slim Fit,Spread Collar
325,Men Abstract Printed Spread Collar Slim Fit Casual Shirt,4.3,2.8k Ratings,â‚¹599,(70% OFF),Long Sleeves,Slim Fit,Spread Collar
326,Men Grey & White Striped Casual Shirt,4.2,456 Ratings,â‚¹571,(56% OFF),Long Sleeves,Regular Fit,Spread Collar
327,The Lifestyle Co Relaxed Fit Denim Casual Shirts,3.1,24 Ratings,â‚¹519,(74% OFF),Long Sleeves,Relaxed Fit,Spread Collar
328,Men Dobby Textured Solid Casual Shirt,3.9,35 Ratings,â‚¹517,(77% OFF),Long Sleeves,Regular Fit,Spread Collar
329,Highlander Men Contrast Stitched Utility Pocket Relaxed Shirt,,,â‚¹587,(76% OFF),Long Sleeves,Regular Fit,Spread Collar
330,Slim Fit Checked Casual Shirt,4.1,1.7k Ratings,â‚¹607,(68% OFF),Short Sleeves,Slim Fit,Spread Collar
331,Men Olive Striped Slim Fit Shirt,4.4,65 Ratings,â‚¹413,(77% OFF),Long Sleeves,Slim Fit,Spread Collar
332,Men Pink Slim Fit Printed Casual Shirt,4.2,1.6k Ratings,â‚¹262,(79% OFF),Short Sleeves,Slim Fit,Spread Collar
333,The Life Co. Relaxed Fit Drop-Shoulder Sleeves Pure Cotton Casual Shirt,4,27 Ratings,â‚¹671,(58% OFF),Long Sleeves,Relaxed Fit,Cutaway Collar
334,Men White & Grey Slim Fit Camouflage Printed Casual Shirt,4.2,7.3k Ratings,â‚¹461,(56% OFF),Short Sleeves,Slim Fit,Spread Collar
335,Spread Collar Slim Fit Floral Opaque Printed Cotton Casual Shirt,4.1,620 Ratings,â‚¹692,(67% OFF),Long Sleeves,Slim Fit,Spread Collar
336,Sweet Street Striped Oversized Shirt,3.6,29 Ratings,â‚¹609,(Rs. 690 OFF),Short Sleeves,Oversized,Cuban Collar
337,Men Yellow & White Horizontal Striped Cotton Casual Shirt,4.2,5k Ratings,â‚¹559,(68% OFF),Long Sleeves,Regular Fit,Spread Collar
338,Men Teal Blue Cotton Casual Shirt,4,9k Ratings,â‚¹599,(50% OFF),Long Sleeves,Regular Fit,Spread Collar
339,Men India Slim Fit Spread Collar Solid Casual Shirt,,,â‚¹559,(72% OFF),Long Sleeves,Slim Fit,Spread Collar
340,The Lifestyle Co Men White & Navy Blue Regular Fit Printed Pure Cotton Casual Shirt,4.2,770 Ratings,â‚¹629,(Rs. 870 OFF),Long Sleeves,Regular Fit,Spread Collar
341,Men Pink Slim Fit Opaque Striped Casual Shirt,3.7,154 Ratings,â‚¹559,(Rs. 1240 OFF),Long Sleeves,Slim Fit,Button-Down Collar
342,Men Navy Blue Opaque Printed Casual Shirt,4.2,856 Ratings,â‚¹524,(65% OFF),Long Sleeves,Regular Fit,Spread Collar
343,Men Blue Comfort Checked Casual Shirt,4.2,31.5k Ratings,â‚¹682,(61% OFF),Long Sleeves,Regular Fit,Spread Collar
344,Navy Blue Classic Oversized Ethnic Motifs Printed Casual Shirt,4.1,190 Ratings,â‚¹503,(72% OFF),Short Sleeves,Oversized,Spread Collar
345,Men White Pure Cotton Casual Sustainable Shirt,4.3,2.2k Ratings,â‚¹584,(61% OFF),Long Sleeves,Regular Fit,Mandarin Collar
346,Checked Slim Fit Shirt,4.4,712 Ratings,â‚¹449,(75% OFF),Long Sleeves,Slim Fit,Spread Collar
347,Navy Blue Slim Fit Self Design Cotton Casual Shirt,4.1,358 Ratings,â‚¹671,(68% OFF),Long Sleeves,Slim Fit,Mandarin Collar
348,Men India Slim Fit Spread Collar Solid Casual Shirt,,,â‚¹559,(72% OFF),Long Sleeves,Slim Fit,Spread Collar
349,Men Yellow Slim Fit Ethnic Opaque Printed Cotton Casual Shirt,4,245 Ratings,â‚¹360,(81% OFF),Long Sleeves,Slim Fit,Spread Collar
350,Men Comfort Spread Collar Solid Cotton Casual Shirt,,,MRPâ‚¹ 3499,,Long Sleeves,Regular Fit,Spread Collar
351,Men Comfort Button-Down Collar Textured Solid Cotton Casual Shirt,,,MRPâ‚¹ 3999,,Long Sleeves,Regular Fit,Button-Down Collar
352,Men White Regular Fit Solid Casual Shirt,4.1,1.7k Ratings,â‚¹629,(70% OFF),Long Sleeves,Regular Fit,Spread Collar
353,Slim Fit Vertical Striped Casual Shirt,3.7,380 Ratings,â‚¹414,(Rs. 1585 OFF),Long Sleeves,Slim Fit,Spread Collar
354,Men Comfort Fit Mandarin Collar Solid Cotton Casual Shirt,,,MRPâ‚¹ 2999,,Long Sleeves,Regular Fit,Mandarin Collar
355,Men Slim Fit Premium Button-Down Collar Solid Linen Casual Shirt,3.6,16 Ratings,â‚¹639,(Rs. 2360 OFF),Long Sleeves,Slim Fit,Button-Down Collar
356,Men Black Comfort Cotton Casual Shirt,4.1,30k Ratings,â‚¹594,(66% OFF),Long Sleeves,Regular Fit,Spread Collar
357,Men Comfort Spread Collar Solid Cotton Casual Shirt,,,MRPâ‚¹ 3499,,Long Sleeves,Regular Fit,Spread Collar
358,Men Easy Care Lavender Self Design Smart Sustainable Formal Shirt,4.1,1.1k Ratings,â‚¹559,(44% OFF),Long Sleeves,Slim Fit,Spread Collar
359,Men Blue & Beige Tartan Checked Casual Shirt,4.1,13.6k Ratings,â‚¹559,(68% OFF),Long Sleeves,Regular Fit,Spread Collar
360,Men Comfort Spread Collar Solid Cotton Casual Shirt,,,MRPâ‚¹ 3299,,Short Sleeves,Regular Fit,Spread Collar
361,Micro Ditsy Printed Spread Collar Cotton Slim Fit Casual Shirt,4.1,115 Ratings,â‚¹292,(85% OFF),Long Sleeves,Slim Fit,Spread Collar
362,Men Geometric Printed Spread Collar Slim Fit Casual Shirt,4.3,2.9k Ratings,â‚¹659,(67% OFF),Long Sleeves,Slim Fit,Spread Collar
363,Men Classic Fit Spread Collar Solid Cotton Casual Shirt,,,â‚¹2029,(30% OFF),Long Sleeves,Regular Fit,Spread Collar
364,Checked Mandarin Collar Long Sleeves Cotton Casual Shirt,4,344 Ratings,â‚¹689,(70% OFF),Long Sleeves,Regular Fit,Mandarin Collar
365,Striped Slim Fit Cotton Casual Shirt,4.2,630 Ratings,â‚¹671,(68% OFF),Short Sleeves,Slim Fit,Cuban Collar
366,Classic Tartan Checked Spread Collar Weave Corduroy Weave Casual Shirt,,,â‚¹1199,(60% OFF),Long Sleeves,Regular Fit,Spread Collar
367,Men Navy Blue Slim Fit Printed Casual Shirt,4.2,254 Ratings,â‚¹274,(78% OFF),Short Sleeves,Slim Fit,Spread Collar
368,Men Opaque Checked Casual Shirt,4.1,277 Ratings,â‚¹599,(70% OFF),Long Sleeves,Regular Fit,Spread Collar
369,Men Floral Printed Pure Cotton Slim Fit Casual Shirt,4.2,692 Ratings,â‚¹574,(Rs. 1125 OFF),Short Sleeves,Slim Fit,Spread Collar
370,Slim Fit Striped Casual Shirt,3.9,279 Ratings,â‚¹420,(71% OFF),Long Sleeves,Slim Fit,Spread Collar
371,Men Maroon & Blue Regular Fit Checked Casual Shirt,4,313 Ratings,â‚¹349,(80% OFF),Long Sleeves,Regular Fit,Spread Collar
372,Men Green Comfort Cotton Casual Shirt,4.1,30k Ratings,â‚¹402,(77% OFF),Long Sleeves,Regular Fit,Spread Collar
373,Men Mandarin Collar Solid Cotton Casual Shirt,3.9,8 Ratings,â‚¹503,(76% OFF),Long Sleeves,Regular Fit,Mandarin Collar
374,The Lifestyle Co. Solid Spread Collar Pure Cotton Casual Shirt,4.3,95 Ratings,â‚¹587,(58% OFF),Long Sleeves,Regular Fit,Spread Collar
375,Men Black Cream- Colour Slim Fit Checked Shirt,4,817 Ratings,â‚¹402,(77% OFF),Long Sleeves,Slim Fit,Spread Collar
376,Men Pure Cotton Casual Shirt,4.3,47 Ratings,â‚¹499,(50% OFF),Long Sleeves,Regular Fit,Spread Collar
377,Men Blue Slim Fit Casual Shirt,4,3.8k Ratings,â‚¹695,(52% OFF),Long Sleeves,Slim Fit,Spread Collar
378,Men Grey Black Regular Fit Printed Sustainable Casual Shirt,4.3,1.2k Ratings,â‚¹539,(64% OFF),Long Sleeves,Regular Fit,Mandarin Collar
379,Slim Fit Multi Striped Cotton Casual Shirt,4.3,395 Ratings,â‚¹629,(70% OFF),Short Sleeves,Slim Fit,Spread Collar
380,Men Comfort Spread Collar Graphic Printed Casual Shirt,4,31 Ratings,â‚¹569,(70% OFF),Long Sleeves,Regular Fit,Spread Collar
381,Men Striped Casual Shirt,4.4,397 Ratings,â‚¹629,(70% OFF),Long Sleeves,Regular Fit,Mandarin Collar
382,Men Striped Casual Shirt,4,1.7k Ratings,â‚¹671,(68% OFF),Long Sleeves,Regular Fit,Spread Collar
383,Men Navy Blue & Burgundy Slim Fit Striped Sustainable Casual Shirt,4,836 Ratings,â‚¹629,(58% OFF),Long Sleeves,Slim Fit,Spread Collar
384,Men Easy Care Teal Blue Checked Sustainable Formal Shirt,4.1,1.5k Ratings,â‚¹649,(Rs. 350 OFF),Long Sleeves,Regular Fit,Spread Collar
385,Men Navy Blue & White Regular Fit Printed Casual Shirt,4.2,1.3k Ratings,â‚¹645,(62% OFF),Long Sleeves,Regular Fit,Spread Collar
386,Men Navy Blue & Taupe Slim Fit Checked Casual Shirt,4.1,1k Ratings,â‚¹376,(71% OFF),Long Sleeves,Slim Fit,Spread Collar
387,The Lifestyle Co. Men Maroon Pure Cotton Solid Casual Shirt,4.3,3.1k Ratings,â‚¹662,(49% OFF),Long Sleeves,Regular Fit,Spread Collar
388,Spread Collar Slim Fit Casual Shirt,3.5,804 Ratings,â‚¹430,(Rs. 1569 OFF),Long Sleeves,Slim Fit,Spread Collar
389,Highlander Men Regular Fit Slim Fit shirt,4.4,130 Ratings,â‚¹431,(76% OFF),Long Sleeves,Slim Fit,Spread Collar
390,Pure Cotton Checked Casual Shirt,,,â‚¹649,(74% OFF),Long Sleeves,Regular Fit,Spread Collar
391,Men Navy Blue & White Slim Fit Cotton Checked Casual Shirt,4,540 Ratings,â‚¹349,(80% OFF),Long Sleeves,Slim Fit,Spread Collar
392,Men Charcoal Grey Regular Fit Solid Casual Shirt,4.2,1.6k Ratings,â‚¹503,(64% OFF),Long Sleeves,Regular Fit,Spread Collar
393,Slim Fit Abstract Printed Casual Shirt,4.1,672 Ratings,â‚¹639,(68% OFF),Long Sleeves,Slim Fit,Spread Collar
394,Men Slim Fit Opaque Printed Casual Shirt,4.3,343 Ratings,â‚¹539,(70% OFF),Short Sleeves,Slim Fit,Cuban Collar
395,Slim Fit Cuban Collar Short Sleeves Casual Shirt,3.9,640 Ratings,â‚¹539,(70% OFF),Short Sleeves,Slim Fit,Cuban Collar
396,Men Olive Green Slim Fit Cotton Casual Shirt,4.4,4.9k Ratings,â‚¹620,(73% OFF),Long Sleeves,Slim Fit,Spread Collar
397,Men Standard Pure Cotton Casual Shirt,4.1,4.1k Ratings,â‚¹671,(52% OFF),Long Sleeves,Regular Fit,Spread Collar
398,Men Maroon Slim Fit Cotton Casual Shirt,4.4,4.9k Ratings,â‚¹689,(70% OFF),Long Sleeves,Slim Fit,Spread Collar
399,Twilight Mauve Slim Fit Casual Shirt,4.3,706 Ratings,â‚¹674,(55% OFF),Long Sleeves,Slim Fit,Spread Collar
