,name,stars,no_of_ratings,price,discount,sleeve,fit,collar
127,Men Relaxed Fit Pure Cotton Casual Shirt,4.1,33 Ratings,â‚¹727,(72% OFF),Long Sleeves,Relaxed Fit,Spread Collar
128,Men Solid Opaque Casual Shirt,4,216 Ratings,â‚¹594,(65% OFF),Long Sleeves,Regular Fit,Button-Down Collar
129,Men Blue Solid Washed Cotton Denim Shirt,4.1,5.3k Ratings,â‚¹611,(64% OFF),Long Sleeves,Regular Fit,Spread Collar
130,Men Standard Mandarin Collar Solid Cotton Slim Fit Casual Shirt,,,â‚¹959,(60% OFF),Long Sleeves,Slim Fit,Mandarin Collar
131,Tartan Checks Printed Cotton Slim Fit Casual Shirt,3.7,691 Ratings,â‚¹671,(72% OFF),Long Sleeves,Slim Fit,Spread Collar
132,Men Multicoloured Slim Fit Opaque Checked Casual Shirt,4,1.3k Ratings,â‚¹599,(70% OFF),Short Sleeves,Slim Fit,Cuban Collar
133,Men Standard Corduroy Cotton Shirt,4.4,707 Ratings,â‚¹1099,(Rs. 1900 OFF),Long Sleeves,Regular Fit,Spread Collar
134,Men Checked Cotton Slim Fit Casual Shirt,4.1,3k Ratings,â‚¹482,(77% OFF),Long Sleeves,Slim Fit,Button-Down Collar
135,Men Olive Green Cotton Casual Shirt,4.3,29.2k Ratings,â‚¹599,(50% OFF),Long Sleeves,Regular Fit,Mandarin Collar
136,Pure Cotton Manhattan Slim Fit Tartan Checked Casual Shirt,,,â‚¹1679,(30% OFF),Long Sleeves,Slim Fit,Spread Collar
137,Men Olive Green Solid Pure Cotton Casual Shirt,4,681 Ratings,â‚¹696,(59% OFF),Long Sleeves,Regular Fit,Spread Collar
138,Men Navy Blue Solid Regular Fit Casual Shirt,4.3,2k Ratings,â‚¹649,(50% OFF),Long Sleeves,Regular Fit,Mandarin Collar
139,Men Classic Slim Fit Semi Sheer Striped Casual Shirt,,,â‚¹1099,(45% OFF),Long Sleeves,Slim Fit,Spread Collar
140,Highlander White Slim Fit Casual Shirt,4.1,74.2k Ratings,â‚¹399,(60% OFF),Long Sleeves,Slim Fit,Spread Collar
141,Slim Fit Long Sleeves Spread Collar Casual Shirt,4.1,286 Ratings,â‚¹639,(68% OFF),Long Sleeves,Slim Fit,Spread Collar
142,Manhattan Slim Fit Opaque Checked Pure Cotton Casual Shirt,,,â‚¹1679,(30% OFF),Long Sleeves,Slim Fit,Cutaway Collar
143,Men Black Slim Fit Windowpane Checks Checked Casual Shirt,4.2,2k Ratings,â‚¹575,(64% OFF),Long Sleeves,Slim Fit,Spread Collar
144,Men White Slim Fit Casual Shirt,4.1,107.2k Ratings,â‚¹647,(65% OFF),Long Sleeves,Slim Fit,Spread Collar
